sku,name,subtitle,product_type,scent,price,market_price,stock,status,engraving_available,review_count,category_path,image_count,url_key,detail_url,description,inspiration,usage_advice,features,craft,formula_texture,ingredients,details,editorial_content
34B600,大号香氛蜡烛-圣日尔曼大道34号,木质香调,candle,,1800.0,1800.0,3,1,0,0,home|home/collections/34-collection|home/scented-candles|home/scented-candles/colored-scented-candles,4,34-600g,https://www.diptyque-cn.com/p/34-600g.html,"圣日尔曼大道34号的椭圆标志镌刻于白色素坯陶瓷烛杯之上，蜡烛中封存了圣日尔曼大道34号创始店内的独特气息。
蜡烛的香气带来苔藓与黑醋栗碎叶散发的清新绿意，花香融合其间，在些许辛香及丰富热情的木质香与芳香的衬托下愈发迷人。",,"-同时点燃3根烛芯，让蜡烛燃烧得更均匀。
-第一次燃烧蜡烛时，请确保持续燃烧2-3小时，使蜡烛表面完全液化，以防止烛芯周围的蜡面凹陷。
-用烛芯修剪器定期修剪烛芯至3-5mm的理想长度。
-请确保在每次使用后蜡烛后都将烛芯调整至直立状态并处于中央位置，以确保蜡烛均匀燃烧。
-建议在熄灭蜡烛后，保持室内环境通风。
这些贴士有助您将香氛蜡烛保持良好的状态，让您尽情感受其怡人芳香。","-适合中型及大型房间
-香气渐进而持久（约20分钟后达到理想效果）。
-请勿将燃烧中的蜡烛遗留在无人照看的场所。
-容量：600g
-燃烧时间：约90小时
-规格：高13厘米；直径11.5厘米",,,,圣日尔曼大道34号,
34B1500V1,超大号香氛蜡烛-圣日尔曼大道34号,木质香调,candle,,3400.0,3400.0,1,1,0,0,home|home/collections/34-collection|home/diffusers|home/gift-ideas-home|home/scented-candles/extra-large-scented-candles,6,34-boulevard-saint-germain-candle-1-5kg,https://www.diptyque-cn.com/p/34-boulevard-saint-germain-candle-1-5kg.html,"每颗蜡烛都有5条烛芯。同时点燃，苔藓与黑醋栗碎叶散发着清新绿意，花香融合其间，在些许辛香及丰富热情的木质香与芳香的衬托下愈发迷人。
在手工制作的陶器中，散发圣日尔曼大道34号创始店内的独特气息。","您知道吗？
室内外香氛蜡烛罐为品牌与法国知名陶瓷品牌Virebrent一同合作打造，选择陶器质朴素雅的触感并以手工制作，重现了Diptyque经典的椭圆象征。包装礼盒设计参考国外传统帽盒，是礼赠的理想选择。","该款蜡烛室内外均可使用。
如何使用香熏蜡烛？
-第一次燃烧蜡烛时，请确保持续燃烧2-3小时，使蜡烛表面完全液化，以防止烛芯周围的蜡面凹陷。
-用烛芯修剪器定期修剪烛芯至3-5mm的理想长度。
-请确保在每次使用后蜡烛后都将烛芯调整至直立状态并处于中央位置，以确保蜡烛均匀燃烧。
-建议在熄灭蜡烛后，保持室内环境通风。
可持续烛罐：
Diptyque烛罐可重复使用。蜡烛燃尽后可再次获得新生，成为实用的装饰性容器，为工作空间赋予特色，可为浴室增添优雅，也可以装饰客厅。","-适合大型房间及户外
-香气渐进而持久（约20分钟后达到理想效果）。
-这款蜡烛室内外均可使用。
-容量：1.5千g
-燃烧时间：约120小时
-规格：高18厘米；直径16厘米",,,,圣日尔曼大道34号,
34B300V1,中号香氛蜡烛-圣日尔曼大道34号,木质香调,candle,,920.0,920.0,4,1,0,0,home|home/collections/34-collection|home/scented-candles|home/scented-candles/medium-scented-candles,5,34-boulevard-saint-germain-candle-300g-remavp,https://www.diptyque-cn.com/p/34-boulevard-saint-germain-candle-300g-remavp.html,"圣日尔曼大道34号香氛蜡烛散发出清新中略带绿意，夹杂着些许辛辣的气息。潮湿的苔藓、皱起的黑醋栗叶、晒干的无花果树叶，都是令人钟爱的香气原料。
乳白色的玻璃杯封存并描绘Diptyque首间精品店的味道。烛芯点燃，生活的艺术浮现在眼前：雅致、创意、自由。",,"-第一次燃烧蜡烛时，请确保持续燃烧2-3小时，使蜡烛表面完全液化，以防止烛芯周围的蜡面凹陷。
-用烛芯修剪器定期修剪烛芯至3-5mm的理想长度。
-请确保在每次使用后蜡烛后都将烛芯调整至直立状态并处于中央位置，以确保蜡烛均匀燃烧。
这些贴士将有助您保持香氛蜡烛良好的状态，以尽情感受其怡人芳香。","-适合中型及大型房间
-香气渐进而持久（约20分钟后达到理想效果）。
-请勿将燃烧中的蜡烛遗留在无人照看的场所。
-容量：300g
-燃烧时间：约75小时
-规格：高10厘米；直径9厘米",,,,圣日尔曼大道34号,
34BEDP75V1,圣日尔曼大道34号淡香精,檀香、香草、粉红胡椒子,fragrance,,1840.0,1840.0,2,1,0,0,fragrances/collections/34-boulevard-saint-germain|fragrances/eaux-de-parfum|fragrances/tous-les-parfums,4,34-boulevard-saint-germain-eau-de-parfum-1,https://www.diptyque-cn.com/p/34-boulevard-saint-germain-eau-de-parfum-1.html,"沐浴于温暖的阳光中，弥漫着醇厚的檀香香气与沁人心脾的香草气息。
此款淡香精展示的是圣日尔曼34号创始店的另一面。一个复杂的嗅觉万花筒，自由且富有创意。",,,,,,,,
REFREED34BV1,圣日尔曼大道34号室内扩香摆件补充装,木质香调,candle,圣日尔曼大道34号200ML,840.0,840.0,5,1,0,0,home|home/collections/34-collection|home/diffusers|home/diffusers/home-fragrance-diffusers|home/diffusers/inserts,4,34-boulevard-saint-germain-home-fragrance-diffuser-refill-1,https://www.diptyque-cn.com/p/34-boulevard-saint-germain-home-fragrance-diffuser-refill-1.html,"标志性椭圆多棱面玻璃瓶樽中，苔藓与黑醋栗碎叶散发着清新绿意，花香融合其间，在些许辛香及丰富热情的木质香与芳香的衬托下愈发迷人。
室内扩香摆件在带来香气的同时，亦是一件精美的家居装饰艺术品。天然藤条扩香棒吸收扩香精油后，将Diptyque经典香气的气息扩散开来。",,"-当扩香精油用尽，可选择本系列任意香型的补充瓶进行反复替换。
-每次补充新的扩香精油时，需同时更换6根藤条（随补充瓶一同出售）",规格：高14厘米；直径5.3厘米,,,,室内扩香摆件补充装,
CAPS34V1,圣日尔曼大道34号扩香器香氛补充包,木质香调,candle,圣日尔曼大道34号,450.0,450.0,30,1,0,0,home|home/collections/34-collection|home/diffusers|home/diffusers/diffuseurs-electriques|home/diffusers/inserts,3,34-boulevard-saint-germain-insert-1,https://www.diptyque-cn.com/p/34-boulevard-saint-germain-insert-1.html,"苔藓，黑醋栗叶，以及晒干的无花果叶的香气，让人仿佛亲临位于巴黎圣日尔曼大道34号的品牌创始店。
香氛补充包内含浓缩香氛因子的微胶囊，真实还原每种香型特质。释放圣日尔曼大道34号创始店内的独特气息。",,"-适用于车载扩香器、便携式电子扩香器、电子扩香器。
-请参考每种扩香产品标签说明，了解相应的使用建议。","-使用后妥善密封，补充包可持续散香约三个月。
-开封后可在密封袋中储存18个月。
-连续40小时使用寿命。
-规格：高6.9厘米；宽5.5厘米",,,,扩香器香氛补充包,
V34BV2,圣日尔曼大道34号室内喷雾,木质香调,candle,圣日尔曼大道34号,660.0,660.0,6,1,0,0,home|home/collections/34-collection|home/diffusers|home/room-sprays,3,34-boulevard-saint-germain-room-spray-1,https://www.diptyque-cn.com/p/34-boulevard-saint-germain-room-spray-1.html,"只需轻轻一喷，即刻满室生香。带来圣日尔曼大道34号创始店内的独特气息。
捕捉圣日尔曼大道34号的品牌创始店内的气息，苔藓，黑醋栗叶，以及晒干的无花果叶带来独特的绿色调性。",,亦可喷洒于窗帘、靠垫等织物表面。,"-可在各种密闭式的空间使用
-容量：150毫升
-规格：高15.3厘米；直径5厘米",,,PPG-2丙醚 、变性乙醇、香精 、水、己基香茅醛、芳樟醇、苧烯、香豆素、柠檬醛、香叶醇、丁香酚、苯甲酸苄酯、金合欢醇、肉桂醛、水杨酸苄酯、肉桂酸苄酯,,
34BEDT100V1,圣日尔曼大道34号淡香水,琥珀、广藿香香调、玫瑰、肉桂、黑加伦子花蕾,fragrance,,1500.0,1500.0,3,1,0,0,fragrances|fragrances/collections/34-boulevard-saint-germain|fragrances/eaux-de-toilette|fragrances/tous-les-parfums,4,34-boulevard-st-germain-eau-de-toilette-1,https://www.diptyque-cn.com/p/34-boulevard-st-germain-eau-de-toilette-1.html,"圣日尔曼大道34号淡香水不仅是香氛，它重现了Diptyque首家精品店的灵魂。
揉合玫瑰、辛香、琥珀，黑醋栗叶，由约40种原材料制作而成。向Diptyque的诸多经典香氛致敬。",,,,,,变性乙醇、水、香精、甲氧基肉桂酸乙基己酯。其他微量成分：水杨酸乙基己酯、丁基甲氧基二苯甲酰基甲烷、丁羟甲苯、苯甲酸、苯甲酸甲酯、苯甲醇、生育酚（维生素E）,,
DECO01069,字母金属烛罩,金属,,,2450.0,2450.0,2,1,0,0,decoration|decoration/candle-holders|decoration/candles-and-accessories|decoration/gift-ideas-deco|decoration/objects|decoration/see-all|home/accessories,4,alphabet-candle-holder-deco01069,https://www.diptyque-cn.com/p/alphabet-candle-holder-deco01069.html,"金色的光影，闪闪发亮。
一件独特的装饰作品，让Diptyque的跃动字符在烛火的光影中翩翩起舞。",,建议用蘸有少许水分的软布擦拭，保持表面干燥。,"搭配：190g蜡烛
材质：金属
重量：360g
尺寸：直径10cm / 高11.5cm",,,,,
ABA3,中号香氛蜡烛-琥珀,木质香调,candle,,920.0,920.0,3,1,0,0,home|home/collections/ambre|home/scented-candles|home/scented-candles/medium-scented-candles,5,amber-candle-300-remavp,https://www.diptyque-cn.com/p/amber-candle-300-remavp.html,"琥珀香丸置身古老宝盒之中，充分吸收了宝盒珍稀木质的馥郁芳香。并含有香脂及香料气息。
手工吹制的彩色玻璃烛杯中，隐约透出微微烛光。琥珀香氛蜡烛仿佛诉说着一个神秘的故事。",,"-第一次燃烧蜡烛时，请确保持续燃烧2-3小时，使蜡烛表面完全液化，以防止烛芯周围的蜡面凹陷。
-用烛芯修剪器定期修剪烛芯至3-5mm的理想长度。
-请确保在每次使用后蜡烛后都将烛芯调整至直立状态并处于中央位置，以确保蜡烛均匀燃烧。
这些贴士将有助您保持香氛蜡烛良好的状态，以尽情感受其怡人芳香。","-适合中型及大型房间
-香气渐进而持久（约20分钟后达到理想效果）。
-请勿将燃烧中的蜡烛遗留在无人照看的场所。
-容量：300g
-燃烧时间：约75小时
-规格：高10厘米；直径9厘米",,,,琥珀,
